4K-8K,#genre#
CCTV8K 超高清 120m,http://27.222.3.214/liveali-tp4k.cctv.cn/live/8K120M/playlist.m3u8
CCTV8K 超高清 36m,http://192.168.10.1:6688/ysptp/cctv8k_36m.m3u8
百事通4K电影,http://www.17888.fun:10000/udp/239.45.3.107:5140$上海电信组播
百事通4K纪实,http://www.17888.fun:10000/rtp/239.45.1.10:5140$上海电信组播
百事通4K儿童,http://www.17888.fun:10000/rtp/239.45.1.1:5140$上海电信组播
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
北京4K超清,http://cn.zzmd.fun:8888/rtp/239.3.1.249:8001$北京联通组播
南国都市4K,http://alvin.ergotron.net:8000/rtp/239.253.43.99:5146$广东电信组播
广东综艺4K,http://alvin.ergotron.net:8000/rtp/239.77.1.237:5146$广东电信组播
河南卫视4K,http://125.43.42.143:9999/udp/225.1.4.254:1300$河南联通
爱上4K,http://xeace.cn:8888/udp/239.93.0.97:5140$四川电信组播
4K电影,http://wouu.net:9977/udp/239.93.1.156:5140$四川电信组播
中录动漫4K,http://xeace.cn:8888/udp/239.93.1.188:5140$四川电信组播
亲子趣学4K,http://xeace.cn:8888/udp/239.93.1.191:5140$四川电信组播
津津悦读4K,http://xeace.cn:8888/udp/239.93.1.197:5140$四川电信组播
军情观察4K,http://wouu.net:9977/udp/239.93.1.198:5140$四川电信组播
绚影4K,http://xeace.cn:8888/udp/239.93.42.33:5140$四川电信组播
乐享4K,http://wouu.net:9977/udp/239.93.0.43:5140$四川电信组播
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Clarity-4K,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8
央视,#genre#
CCTV-1 综合,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8
CCTV-2 财经,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8
CCTV-3 综艺,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8
CCTV-4 中文国际,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8
CCTV-5 体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:74d9:21::6]:80/270000001128/9900000507/index.m3u8
CCTV-6 电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8
CCTV-7 国防军事,http://[2409:8087:74d9:21::6]:80/270000001128/9900000504/index.m3u8
CCTV-8 电视剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8
CCTV-9 纪录,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8
CCTV-10 科教,http://[2409:8087:74d9:21::6]:80/270000001128/9900000506/index.m3u8
CCTV-11 戏曲,http://[2409:8087:74d9:21::6]:80/270000001128/9900000508/index.m3u8
CCTV-12 社会与法,http://[2409:8087:74d9:21::6]:80/270000001128/9900000509/index.m3u8
CCTV-13 新闻,http://[2409:8087:74d9:21::6]:80/270000001128/9900000510/index.m3u8
CCTV-14 少儿,http://[2409:8087:74d9:21::6]:80/270000001128/9900000511/index.m3u8
CCTV-15 音乐,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8
CCTV-17 农业农村,http://[2409:8087:74d9:21::9]:80/270000001128/9900000513/index.m3u8
CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CETV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8
CETV-2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8
CETV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000072/index.m3u8
央视付费,#genre#
央视精品,http://117.41.138.38:9999/udp/239.252.219.81:5140$江西电信组播
央视台球,http://117.41.138.38:9999/udp/239.252.219.80:5140$江西电信组播
风云音乐,http://117.41.138.38:9999/udp/239.252.219.87:5140$江西电信组播
第一剧场,http://117.41.138.38:9999/udp/239.252.219.86:5140$江西电信组播
风云剧场,http://117.41.138.38:9999/udp/239.252.219.89:5140$江西电信组播
怀旧剧场,http://117.41.138.38:9999/udp/239.252.219.90:5140$江西电信组播
女性时尚,http://117.41.138.38:9999/udp/239.252.219.94:5140$江西电信组播
央视网球,http://117.41.138.38:9999/udp/239.252.219.95:5140$江西电信组播
风云足球,http://117.41.138.38:9999/udp/239.252.219.96:5140$江西电信组播
电视指南,http://117.41.138.38:9999/udp/239.252.219.97:5140$江西电信组播
世界地理,http://117.41.138.38:9999/udp/239.252.219.93:5140$江西电信组播
兵器科技,http://117.41.138.38:9999/udp/239.252.219.98:5140$江西电信组播
兵器科技,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
卫视,#genre#
北京卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000516/index.m3u8
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000523/index.m3u8
东方卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000518/index.m3u8
四川卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000025/index.m3u8
天津卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000530/index.m3u8
安徽卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000514/index.m3u8
山东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000527/index.m3u8
